time,modobslng,modobslat,modtlng,modtlat
1,22.6,75.62,22.6,75.62
2,22.96,75.04,22.96,74.86
3,23.44,74.1,23.44,74.1
29,20.59,68.74,20.59,68.74
31,20.62,68.41,20.62,68.41
32,20.57,68.23,20.57,68.23
34,20.12,68.43,20.12,68.43
35,19.83,68.51,19.83,68.51
36,19.42,68.42,19.42,68.42
37,19.08,68.43,19.08,68.43
39,18.62,68.68,18.62,68.68
40,18.48,68.85,18.48,68.85
42,18.14,69.13,18.14,69.13
43,18.21,69.35,18.21,69.35
45,17.99,69.73,17.99,69.73
51,17.48,70.45,17.48,70.45
52,17.13,70.53,17.13,70.53
53,16.91,70.65,16.91,70.65
56,17.21,70.98,17.21,70.98
60,17.4,71.48,17.4,71.48
63,17.59,71.75,17.59,71.75
477,23.16,80.44,23.16,80.44
482,23.08,80.46,23.08,80.46
525,28.61,74.43,27.595,74.43
526,27.7,74.42,27.7,74.42
542,27.33,74.4,23.88823529,74.4
543,23.65,74,23.65,74
547,22.76,74.83,22.76,74.83
554,22.59,75.12,21.605,73.465
555,21.44,73.27,21.44,73.27
564,21.48,73.52,21.48,73.52
565,21.7,73.8,21.7,73.8
568,22,73.72,22,73.72
569,22.24,73.62,22.24,73.62
571,22.73,73.58,22.73,73.58
572,23,73.56,23,73.56
574,23.5,73.45,23.5,73.45
575,23.77,73.38,23.77,73.38
577,24.28,73.18,24.28,73.18
578,24.51,73,24.51,73
579,24.68,72.81,24.68,72.81
580,24.84,72.62,24.84,72.62
581,24.95,72.43,24.95,72.43
582,25.06,72.16,25.06,72.16
583,25.29,71.81,25.54166667,71.81
584,25.6,71.67,26.02333333,71.67
585,26.33,71.88,26.505,71.88
586,26.87,71.94,26.98666667,71.94
587,27.44,72.04,27.46833333,72.04
588,27.95,72.07,27.95,72.07
589,28.45,72.12,28.45,72.12
590,28.93,72.18,28.93,72.18
591,29.43,72.32,29.43,72.32
592,29.89,72.43,29.89,72.43
593,30.32,72.49,30.32,72.49
594,30.71,72.48,30.71,72.48
595,31.03,72.51,31.03,72.51
596,31.41,72.6,31.41,72.6
597,31.8,72.64,31.8,72.64
598,32.19,72.62,32.288,72.62
599,32.65,72.63,32.776,72.63
600,33.14,72.64,33.264,72.64
601,33.71,72.74,33.752,72.74
602,34.24,72.82,34.24,72.82
603,34.73,72.87,34.73,72.87
604,35.22,72.91,35.22,72.91
605,35.68,72.89,35.68,72.89
606,36.17,72.88,36.17,72.88
607,36.63,72.83,36.63,72.83
608,37.11,72.8,37.11,72.8
609,37.52,72.73,37.52,72.73
610,37.89,72.64,37.89,72.64
611,38.27,72.53,38.27,72.53
612,38.7,72.5,38.7,72.5
613,39.1,72.48,39.1,72.48
614,39.49,72.48,39.49,72.48
615,39.89,72.43,39.89,72.43
616,40.27,72.51,40.27,72.51
617,40.65,72.57,40.65,72.57
618,41.01,72.6,41.01,72.6
619,41.4,72.63,41.4,72.63
620,41.78,72.65,41.78,72.65
621,42.15,72.69,42.15,72.69
623,42.66,72.81,42.66,72.81
624,42.77,72.99,42.77,72.99
627,42.83,73.36,42.83,73.36
628,42.86,73.45,42.86,73.45
631,43.17,73.73,43.17,73.73
632,43.29,73.84,43.29,73.84
1491,41.61,74.47,41.61,74.47
1494,41.89,74.43,42.2475,74.43
1495,42.46,74.3,42.46,74.3
1497,42.69,73.99,42.69,73.99
1498,42.77,73.91,42.77,73.91
1504,43.01,73.5,43.01,73.5
1505,43.09,73.52,43.09,73.52
1523,43.28,73.1,43.28,73.1
1524,43.41,73.01,43.41,73.01
1527,43.85,72.87,43.85,72.87
1528,44.02,72.7,44.02,72.7
1529,44.18,72.35,44.18,72.35
1530,44.14,72.01,44.14,72.01
1531,44.05,71.72,44.05,71.72
1532,44,71.39,44,71.39
1533,43.97,71.08,43.97,71.08
1534,43.94,70.76,43.94,70.76
1535,43.91,70.45,43.91,70.45
1536,43.93,70.11,43.93,70.11
1537,43.98,69.81,43.98,69.81
1538,44.05,69.46,44.05,69.46
1539,44.07,69.13,44.07,69.13
1540,44.12,68.79,44.12,68.79
1541,44.19,68.45,44.19,68.45
1542,44.22,68.11,44.22,68.11
1543,44.19,67.75,44.19,67.75
1544,44.12,67.39,44.12,67.39
1545,44.02,66.99,44.02,66.96125
1546,43.93,66.58,43.93,66.5325
1547,43.93,66.16,43.93,66.10375
1548,43.97,65.71,43.97,65.675
1549,44.07,65.28,44.07,65.24625
1550,44.18,64.83,44.18,64.8175
1551,44.3,64.38,44.3,64.38875
1552,44.46,63.96,44.46,63.96
1553,44.65,63.57,44.65,63.57
1554,44.8,63.21,44.8,63.21
1555,44.95,62.88,44.95,62.88
1556,45.05,62.56,45.05,62.56
1557,45.17,62.24,45.17,62.24
1558,45.23,61.94,45.23,61.94
1559,45.23,61.58,45.23,61.58
1560,45.22,61.18,45.22,61.18
1561,45.29,60.78,45.29,60.78
1562,45.38,60.4,45.38,60.4
1563,45.47,60,45.47,60
1564,45.56,59.6,45.56,59.6
1565,45.66,59.2,45.66,59.2
1566,45.72,58.81,45.72,58.81
1567,45.83,58.5,45.83,58.5
1568,45.88,58.16,45.88,58.16
1569,45.98,57.8,45.98,57.8
1570,46.09,57.4,46.09,57.4
1571,46.14,57.01,46.14,57.01
1572,46.16,56.64,46.16,56.64
1573,46.1,56.29,46.1,56.29
1574,46.11,55.98,46.11,55.98
1575,46.15,55.68,46.15,55.68
1576,46.18,55.36,46.18,55.36
1577,46.23,55.07,46.23,55.07
1578,46.25,54.74,46.25,54.74
1579,46.31,54.43,46.31,54.43
1580,46.39,54.08,46.39,54.08
1581,46.41,53.76,46.41,53.76
1582,46.34,53.39,46.34,53.39
1583,46.3,52.99,46.3,52.99
1584,46.23,52.61,46.23,52.61
1585,46.1,52.23,46.1,52.23
1586,45.96,51.84,45.96,51.84
1587,45.9,51.49,45.9,51.49
1588,45.89,51.18,45.89,51.18
1589,45.94,50.85,45.94,50.85
1590,45.99,50.52,45.99,50.52
1591,46,50.17,46,50.17
1592,45.94,49.86,45.94,49.86
1593,45.88,49.52,45.88,49.52
1594,45.71,49.19,45.71,49.19
1595,45.68,48.86,45.68,48.86
1596,45.65,48.51,45.65,48.51
1597,45.55,48.16,45.55,48.16
1598,45.48,47.78,45.48,47.78
1599,45.37,47.4,45.37,47.4
1600,45.4,47.04,45.4,47.04
1601,45.39,46.7,45.39,46.7
1602,45.43,46.3,45.43,46.3
1603,45.49,45.93,45.49,45.93
1604,45.54,45.5,45.54,45.5
1605,45.59,45.11,45.59,45.08
1606,45.69,44.66,45.69,44.66
1607,45.82,44.29,45.82,44.29
1608,46.03,43.92,46.03,43.92
1609,46.28,43.63,46.28,43.63
1610,46.49,43.35,46.49,43.35
1611,46.73,42.99,46.73,42.99
1612,46.85,42.61,46.85,42.61
1613,46.94,42.22,46.94,42.22
1614,46.99,41.82,46.99,41.82
1615,47.02,41.4,47.02,41.4
1616,46.93,41.1,46.93,41.1
1617,46.83,40.86,46.83,40.86
